Problem,Sentiment,Aspect
สั่งซื้อวัสดุก่อสร้างไปหลายรายการ แต่ได้รับสินค้าไม่ครบตามใบสั่งซื้อค่ะ,Negative,"การจัดส่ง, บริการลูกค้า"
สอบถามเกี่ยวกับการเลือกใช้ท่อสำหรับระบบน้ำเสียครับ,Neutral,"การเลือกผลิตภัณฑ์, ข้อมูลผลิตภัณฑ์"
ปูนกาวที่ซื้อไปแห้งตัวช้าเกินไป ทำให้กระเบื้องหลุดง่ายครับ,Negative,คุณภาพผลิตภัณฑ์
หลังคาเมทัลชีทเกิดสนิมหลังจากใช้งานไปเพียง 1 ปีค่ะ,Negative,คุณภาพผลิตภัณฑ์
สอบถามเกี่ยวกับการเลือกใช้ไม้สังเคราะห์สำหรับทำพื้นระเบียงค่ะ,Neutral,"การเลือกผลิตภัณฑ์, ข้อมูลผลิตภัณฑ์"
สีทาภายในลอกล่อนง่ายมาก หลังจากทาไปไม่นานค่ะ,Negative,คุณภาพผลิตภัณฑ์
สั่งซื้ออิฐบล็อกไป แต่ขนาดไม่เท่ากัน ทำให้ก่อสร้างลำบากค่ะ,Negative,"การจัดส่ง, คุณภาพผลิตภัณฑ์"
เครื่องเจาะคอนกรีตยี่ห้อนี้เจาะช้ามาก เสียเวลาในการทำงาน,Negative,ประสิทธิภาพของผลิตภัณฑ์
สอบถามวิธีการใช้งานเลื่อยวงเดือนให้ปลอดภัยค่ะ,Neutral,"การใช้งาน, ความปลอดภัย"
เครื่องตัดกระเบื้องที่ซื้อไปใบมีดเสียเร็วเกินไป ต้องเปลี่ยนบ่อยมาก,Negative,"คุณภาพของผลิตภัณฑ์, อายุการใช้งาน"
สั่งซื้อสว่านโรตารีไป แต่ได้รับสินค้าชำรุด สายไฟขาด,Negative,"การจัดส่ง, คุณภาพผลิตภัณฑ์"
สอบถามเกี่ยวกับการเลือกซื้อเครื่องปั๊มน้ำสำหรับสูบน้ำขึ้นชั้นสองค่ะ,Neutral,"การเลือกผลิตภัณฑ์, ข้อมูลผลิตภัณฑ์"
เครื่องเจียรที่ซื้อไปมอเตอร์เสียงดังมาก และมีแรงสั่นสะเทือนเยอะ,Negative,"คุณภาพผลิตภัณฑ์, ประสบการณ์การใช้งาน"
เลื่อยวงเดือนที่ซื้อไปใบมีดเบี้ยว ทำให้ตัดไม้ไม่ตรงเส้น,Negative,คุณภาพผลิตภัณฑ์
สอบถามวิธีการดูแลรักษาเครื่องเจาะคอนกรีตให้มีอายุการใช้งานยาวนานค่ะ,Neutral,"การบำรุงรักษา, ข้อมูลผลิตภัณฑ์"
เครื่องตัดกระเบื้องน้ำหนักมากเกินไป ยกเคลื่อนลำบาก,Negative,การออกแบบผลิตภัณฑ์
สั่งซื้อเครื่องปั๊มน้ำไป แต่ได้รับสินค้าไม่ตรงกับรุ่นที่สั่งค่ะ,Negative,"การจัดส่ง, บริการลูกค้า"
สอบถามวิธีการปรับตั้งเครื่องเจาะคอนกรีตให้เจาะได้ตรงเป้าหมายค่ะ,Neutral,"การใช้งาน, ข้อมูลผลิตภัณฑ์"
เครื่องตัดกระเบื้องใบมีดร้อนเร็วเกินไป ทำให้กระเบื้องแตกง่าย,Negative,คุณภาพผลิตภัณฑ์
สั่งซื้อชุดเครื่องมือช่างไป แต่ได้รับสินค้าไม่ครบตามรายการที่สั่งค่ะ,Negative,"การจัดส่ง, บริการลูกค้า"
สอบถามเกี่ยวกับการเลือกซื้อเครื่องเชื่อมไฟฟ้าสำหรับงานเหล็กค่ะ,Neutral,"การเลือกผลิตภัณฑ์, ข้อมูลผลิตภัณฑ์"
เครื่องเจียรที่ซื้อไปมอเตอร์ไหม้หลังจากใช้งานไปเพียง 2 เดือน,Negative,"คุณภาพผลิตภัณฑ์, อายุการใช้งาน"
เลื่อยวงเดือนที่ซื้อไปเสียงดังมาก ทำให้ปวดหูขณะใช้งาน,Negative,ประสบการณ์การใช้งาน
สอบถามวิธีการดูแลรักษาเครื่องตัดกระเบื้องให้มีอายุการใช้งานยาวนานค่ะ,Neutral,"การบำรุงรักษา, ข้อมูลผลิตภัณฑ์"
เครื่องเจาะคอนกรีตน้ำหนักเบามาก จับไม่ถนัด ทำให้ทำงานยาก,Negative,การออกแบบผลิตภัณฑ์
สั่งซื้อเครื่องปั๊มน้ำไป แต่ได้รับสินค้าตัวอย่างที่แตกต่างจากในแคตตาล็อกค่ะ,Negative,"การจัดส่ง, บริการลูกค้า"
ไขควงชาร์จแบตที่ซื้อไป แบตหมดเร็วมาก ทำงานได้ไม่นาน,Negative,"คุณภาพผลิตภัณฑ์, อายุการใช้งาน"
สอบถามวิธีการใช้งานเครื่องเจียรไฟฟ้าสำหรับงานเหล็กค่ะ,Neutral,"การใช้งาน, ข้อมูลผลิตภัณฑ์"
เครื่องเจาะสว่านที่ซื้อไปมอเตอร์ไหม้หลังจากใช้งานไปเพียง 1 เดือน,Negative,"คุณภาพผลิตภัณฑ์, อายุการใช้งาน"
