Problem,Sentiment,Aspect
เครื่องตัดหญ้ามีปัญหาเรื่องคลัตช์ลื่น ทำให้ตัดหญ้าไม่ค่อยได้,Negative,"คุณภาพผลิตภัณฑ์, บริการหลังการขาย"
สั่งซื้ออะไหล่ไปแล้ว แต่ที่ได้รับมาไม่ตรงกับที่สั่งครับ,Negative,"การจัดส่ง, บริการลูกค้า"
เครื่องสูบน้ำรั่วซึมตรงข้อต่อ ทำให้สูบน้ำไม่ได้เลยค่ะ,Negative,"คุณภาพผลิตภัณฑ์, บริการหลังการขาย"
สอบถามวิธีการใช้งานปุ๋ยชีวภาพร่วมกับปุ๋ยเคมีค่ะ,Neutral,"การให้คำแนะนำ, ข้อมูลผลิตภัณฑ์"
สอบถามเกี่ยวกับการติดตั้งระบบสปริงเกอร์แบบอัตโนมัติค่ะ,Neutral,"การให้คำแนะนำ, ผลิตภัณฑ์"
เมล็ดพันธุ์ที่ได้รับมาไม่งอกเลยค่ะ ทั้งๆ ที่เก็บรักษาตามวิธีที่แนะนำ,Negative,คุณภาพผลิตภัณฑ์
เครื่องยนต์รถไถมีเสียงดังผิดปกติตอนทำงานหนักค่ะ,Negative,"คุณภาพผลิตภัณฑ์, บริการหลังการขาย"
สอบถามเกี่ยวกับการใช้ปุ๋ยอินทรีย์เพื่อปรับปรุงดินเค็มค่ะ,Neutral,"การให้คำแนะนำ, ข้อมูลผลิตภัณฑ์"
เครื่องตัดหญ้าใบมีดบิ่นง่ายมาก ควรจะเลือกใช้ใบมีดชนิดไหนดี,Neutral,"การบำรุงรักษา, ข้อมูลผลิตภัณฑ์"
สั่งซื้อสินค้าไปหลายรายการ แต่ได้รับใบเสร็จมาแค่บางส่วนค่ะ,Negative,"การจัดส่ง, บริการลูกค้า"
เครื่องยนต์รถไถเดินเบาสั่นมาก ควรจะตรวจสอบอะไรบ้างคะ,Negative,"บริการหลังการขาย, คุณภาพผลิตภัณฑ์"
สั่งซื้อสินค้าไปแล้วแต่ยังไม่ได้รับ SMS ยืนยันการสั่งซื้อค่ะ,Negative,บริการลูกค้า
สอบถามเกี่ยวกับการติดตั้งระบบน้ำหยดในโรงเรือนเพาะปลูกค่ะ,Neutral,การให้คำแนะนำผลิตภัณฑ์
